city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,lot_size_acres,zoning,lease_type,tenancy,brand_tenant,square_footage,cap_rate_percentage,occupancy_percentage,noi,investment_type,buildings,net_rentable_sqft,ownership,year_built,stories,class,rent_bumps,loading_docks,dock_high_doors,ceiling_height,year_renovated,broker_co_op,lease_expiration,price_sqft_land_value,lease_term_year,sale_condition,number_of_tenants,tenant_credit,lease_commencement,parking_spaces,units,price_acre_land_value,lease_options,ground_lease,price_sqft,remaining_term_year
charlotte nc,695000.0,600 e 35th street,"600 E 35th St Charlotte, NC 28205","Available for Sale • +/- 1,462 SF Office in NoDa",https://www.crexi.com/properties/1915950/north-carolina-600-e-35th-street,695000.0,2025-04-30,83.0,office,"creative office, traditional office",0.127,NS,,,,1462.0,,,,,,,,1930,,,,,,,2021.0,,,,,,,,,,,,,,,
charlotte nc,,8345 west w.t.harris boulevard,"8345 W W.T.Harris Blvd Charlotte, NC 28216",Land • 1.735 acres,https://www.crexi.com/properties/1930292/north-carolina-8345-west-wtharris-boulevard,,2025-05-20,63.0,land,commercial,1.735,B2(CD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,steele creek commercial lot,"8612 Steele Creek Rd Charlotte, NC 28273",Land • 1.134 acres,https://www.crexi.com/properties/1720745/north-carolina-steele-creek-commercial-lot,,2025-05-28,54.0,land,commercial,1.134,CG,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
charlotte nc,,600 blk crater street,"600 Crater St Charlotte, NC 28205",Land,https://www.crexi.com/properties/1338745/north-carolina-600-blk-crater-street,,2023-12-07,593.0,land,commercial,.5 - 1.72,B-2/O-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,295000.0,julia ave land,"000 Julia Ave Charlotte, NC 28206",Land • 1.173 acres,https://www.crexi.com/properties/1740267/north-carolina-julia-ave-land,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1200000.0,commercial land for development in steele creek,"13323 S Tryon St Charlotte, NC 28278",Commercial Land Development Opportunity - Steele Creek,https://www.crexi.com/properties/474535/north-carolina-commercial-land-for-development-in-steele-creek,1200000.0,2023-07-19,734.0,land,commercial,1.667,Commercial,,,,,,,,,,,,,,,,,,,,,2024-12-30,18.56,,,,,,,,,,,,
charlotte nc,,stable healthcare investment,3 LOCATIONS,Retail,https://www.crexi.com/properties/1879906/north-carolina-stable-healthcare-investment,,2025-04-03,110.0,"retail, multifamily","apartment building, commercial",.36 - .6,R8 | High-Density Residential; UMO (Urban Mixed Use); N1-A (Neighborhood 1-A),NNN,single,,4409.0,,,,,3.0,,,,,,,,,,,,,,18.0,1031 exchange,,,,,,,,,,20.0
charlotte nc,,i-485 & prosperity church road,"5300 Prosperity Church Rd Charlotte, NC 28269",Land • 1.98 acres,https://www.crexi.com/properties/1832412/north-carolina-i-485-prosperity-church-road,,2025-03-18,125.0,"land, retail",commercial,1.98,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1195000.0,2711 midland ave,"2711 Midland Ave Charlotte, NC 28208","Industrial Warehouse in West Charlotte • 8,600 SF",https://www.crexi.com/properties/1954320/north-carolina-2711-midland-ave,1195000.0,2025-06-04,47.0,industrial,"flex, warehouse",0.49,CG,,multi,,8600.0,,,,,,,,1951,1.0,C,,12.0,10.0,8ft - 14ft,,,,,,,3.0,,,,,,,,,
charlotte nc,,trevi village land,"12440 N Tryon St Charlotte, NC 28262",Commercial Development Opportunity at Trevi Village • 17 Acres,https://www.crexi.com/properties/1157679/north-carolina-12440-north-tryon-st,,2023-06-08,775.0,land,commercial,17,CC,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,
